연번,동별,구분,시설명,소재지,연락처,데이터기준일자
1,범어1동,공설,범어1동 제1경로당,동대구로54길 7,053-743-3288,2023-09-12
2,범어1동,공설,범어1동 제2경로당,청솔로16길 35,053-765-1330,2023-09-12
3,범어1동,아파트,궁전맨션경로당,동대구로 274,053-756-8020,2023-09-12
4,범어1동,아파트,아진맨션경로당,동대구로 38길 80,053-751-2411,2023-09-12
5,범어1동,아파트,태왕유성하이빌경로당,동대구로 250,053-746-6144,2023-09-12
6,범어1동,아파트,범어유림노르웨이숲경로당,동대구로50길 37,053-741-6008,2023-09-12
7,범어1동,아파트,범어1동 청구푸른마을경로당,동대구로 240,053-742-1106,2023-09-12
8,범어1동,아파트,범어쌍용예가아파트경로당,명덕로 477,053-741-1704,2023-09-12
9,범어1동,아파트,범어롯데캐슬경로당,동대구로 300,개인정보 포함,2023-09-12
10,범어2동,공설,범어2동 제1경로당,동원로11길 14,053-742-9237,2023-09-12
11,범어2동,공설,범어2동 제2경로당,동대구로80길 73-3,053-752-2363,2023-09-12
12,범어2동,아파트,범어2동 두산위브더제니스경로당,달구벌대로 2435,053-759-6226,2023-09-12
13,범어3동,공설,범어3동 제1경로당,들안로78길 46,053-752-0282,2023-09-12
14,범어3동,아파트,청구성조타운경로당,국채보상로 846,053-751-1577,2023-09-12
15,범어3동,아파트,범어화성파크드림경로당,범어천로 180,053-744-2141,2023-09-12
16,범어3동,아파트,범어태왕아너스경로당,상록로 41,053-755-4754,2023-09-12
17,범어3동,아파트,래미안수성경로당,상록로 69,053-745-1009,2023-09-12
18,범어3동,아파트,범어월드메르디앙 웨스턴카운티경로당,범어천로 200,053-759-1113,2023-09-12
19,범어3동,아파트,범어역우방유쉘경로당,동대구로 345,053-746-8648,2023-09-12
20,범어4동,공설,범어4동제1경로당,청호로85길 46,053-752-5262,2023-09-12
21,범어4동,공설,유신경로당,청호로88안길 29-3,053-756-7581,2023-09-12
22,범어4동,공설,범어4동제2경로당,범어로20길 24-1,053-741-1542,2023-09-12
23,범어4동,아파트,장원맨션경로당,청호로 370,053-754-7383,2023-09-12
24,범어4동,아파트,범어가든3차경로당,청호로 365,053-752-4812,2023-09-12
25,범어4동,아파트,서한두레맨션경로당,달구벌대로496길72,053-756-1126,2023-09-12
26,범어4동,아파트,범어청구하이츠경로당,청호로84안길2,053-213-7788,2023-09-12
27,범어4동,아파트,범어에스케이뷰경로당,범어로 73,053-743-0086,2023-09-12
28,범어4동,아파트,우방청솔경로당,청호로 422,개인정보 포함,2023-09-12
29,만촌1동,공설,만촌1동 제1경로당,만촌로24길 37-20,053-751-7843,2023-09-12
30,만촌1동,공설,느지경로당,화랑로40길 46,053-943-6176,2023-09-12
31,만촌1동,공설,샘골경로당,공경로2길 21,053-752-3132,2023-09-12
32,만촌1동,아파트,럭키골든맨션경로당,효행로 24,053-942-2133,2023-09-12
33,만촌1동,아파트,만촌보성타운경로당,공경로 70,053-751-5499,2023-09-12
34,만촌1동,아파트,메트로팔레스5단지경로당,동원로 100,053-741-5108 ,2023-09-12
35,만촌1동,아파트,메트로팔레스2단지경로당,동원로 123,053-215-5559,2023-09-12
36,만촌1동,아파트,메트로팔레스1단지경로당,동원로 135,053-214-5100,2023-09-12
37,만촌1동,아파트,메트로팔레스3단지경로당,동원로 110,053-742-0318,2023-09-12
38,만촌1동,아파트,만촌화성파크스위트경로당,화랑로34길 141,053-219-0088,2023-09-12
39,만촌1동,아파트,만촌우방하이츠경로당,화랑로 26,053-744-8443,2023-09-12
40,만촌2동,공설,지장경로당,무열로 65-1,053-741-0390,2023-09-12
41,만촌2동,공설,만촌경로당,동원로6길 50-13,053-741-1666,2023-09-12
42,만촌2동,아파트,태왕리더스경로당,무열로 47,053-213-1168,2023-09-12
43,만촌3동,공설,만촌3동 제1경로당,달구벌대로526안길6,053-751-8818,2023-09-12
44,만촌3동,공설,각계경로당,달구벌대로530길146,053-745-1123,2023-09-12
45,만촌3동,공설,두리봉경로당,달구벌대로530길92,053-755-5346,2023-09-12
46,만촌3동,공설,두봉골경로당,달구벌대로 522길 121-20,개인정보 포함,2023-09-12
47,만촌3동,아파트,산장맨션경로당,교학로 111,053-741-4434,2023-09-12
48,만촌3동,아파트,만촌2차우방타운경로당,교학로11길 91,053-744-0580,2023-09-12
49,만촌3동,아파트,만촌우방타운경로당,교학로11길 46,053-755-5055,2023-09-12
50,만촌3동,아파트,수성2차 e편한세상경로당,달구벌대로522길 33,053-294-4959,2023-09-12
51,만촌3동,아파트,우방팔레스경로당,청수로 551,053-744-5066,2023-09-12
52,만촌3동,아파트,만촌3차화성파크드림경로당,교학로 13,053-945-4700,2023-09-12
53,수성1가,공설,수성1가 제1경로당,수성로53길 50-4,053-764-8996,2023-09-12
54,수성1가,공설,수성1가 제2경로당,달구벌대로456길 11,053-753-1582,2023-09-12
55,수성1가,아파트,신세계타운만수당경로당,신천동로 320,053-767-1489,2023-09-12
56,수성1가,아파트,오성타운경로당,신천동로 380,053-744-2361,2023-09-12
57,수성1가,아파트,태왕하이츠리버뷰경로당,달구벌대로454길 9,053-243-0071,2023-09-12
58,수성1가,아파트,수성그린타운경로당,달구벌대로458길 17,053-759-9449,2023-09-12
59,수성1가,아파트,한가람타운경로당,명덕로 368,053-761-7695,2023-09-12
60,수성1가,아파트,삼우1차수성타운경로당,달구벌대로456길 19,053-745-3343,2023-09-12
61,수성1가,아파트,수성대백인터빌경로당,수성로69길 14,053-213-8421,2023-09-12
62,수성1가,아파트,영남타워경로당,달구벌대로456길 43,053-744-2240,2023-09-12
63,수성1가,아파트,수성서한이다음경로당,수성로69길 15,053-255-2466,2023-09-12
64,수성1가,아파트,수성동양엘레브경로당,명덕로73길 40,053-741-7966,2023-09-12
65,수성1가,아파트,유성푸르나임경로당,수성로75길 16,053-741-2209,2023-09-12
66,수성1가,아파트,수성롯데캐슬더퍼스트1단지경로당,수성로69길 70,053-741-3651,2023-09-12
67,수성1가,아파트,수성롯데캐슬더퍼스트2단지경로당,수성로69길 65,053-741-3651,2023-09-12
68,수성1가,아파트,수성롯데캐슬더퍼스트3단지경로당,수성로69길 41,053-741-3651,2023-09-12
69,"수성2,3가",공설,한마음경로당,들안로52길 35-1,053-767-0545,2023-09-12
